WKT,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon
"MULTIPOLYGON (((7.1457488 50.9030569,7.1457779 50.9030763,7.145864 50.9031336,7.1458283 50.9040312,7.1458578 50.9040508,7.1459134 50.9040878,7.1459453 50.904109,7.1462349 50.9043015,7.1463775 50.9043964,7.1462611 50.9044664,7.1459231 50.9046696,7.1459216 50.9047071,7.1459698 50.9047392,7.1461328 50.9048475,7.1465954 50.9048549,7.1468053 50.9049944,7.1468162 50.9050016,7.146829 50.9050102,7.1470768 50.9051749,7.1489067 50.905204,7.1489872 50.9051555,7.1489874 50.9051554,7.1492126 50.90502,7.1493964 50.9049095,7.151745 50.9049467,7.1520511 50.9051501,7.1520573 50.9051543,7.152134 50.9052053,7.1526076 50.9055201,7.1526138 50.9055242,7.1531766 50.9058983,7.1534458 50.9060773,7.1534702 50.9060935,7.1537394 50.9062724,7.1538543 50.9063488,7.1539649 50.9064224,7.1539257 50.9074135,7.1540303 50.9074152,7.1540464 50.9074259,7.1540757 50.9074454,7.1541022 50.907463,7.1541022 50.9074635,7.1540973 50.9074665,7.1540952 50.9074677,7.1540861 50.9074732,7.1540422 50.9074725,7.1540332 50.9076994,7.1541066 50.9077481,7.1541208 50.9077575,7.1541502 50.9077771,7.1542909 50.9076925,7.1543252 50.9076719,7.154515 50.9075577,7.1545708 50.9075242,7.1546991 50.907447,7.1548164 50.9073765,7.155062 50.9072288,7.1550893 50.9072124,7.1551073 50.9072015,7.1555155 50.9069561,7.1575059 50.9069875,7.1575783 50.9070356,7.1578119 50.9071909,7.1578909 50.9072434,7.1578942 50.9072456,7.1580455 50.9073462,7.1582791 50.9075014,7.1582825 50.9075036,7.1584371 50.9076064,7.1585128 50.9076567,7.1586707 50.9077617,7.1587464 50.907812,7.1588046 50.9078506,7.15898 50.9079673,7.1589833 50.9079695,7.159059 50.9080197,7.1592137 50.9081225,7.1594473 50.9082778,7.1594473 50.9082778,7.1595296 50.9083325,7.159681 50.9084331,7.1598356 50.9085359,7.1599146 50.9085884,7.1599626 50.9086203,7.1612993 50.9086413,7.1613643 50.9086022,7.1615312 50.9085018,7.1615888 50.9084672,7.1616251 50.9084454,7.1616981 50.9084015,7.1617406 50.9083759,7.161796 50.9083425,7.1620278 50.9082031,7.1620595 50.9081841,7.1622823 50.90805,7.1627686 50.9077575,7.1630094 50.9076127,7.1630231 50.9076044,7.1632549 50.907465,7.1633143 50.9074292,7.1645199 50.9074482,7.1646859 50.9075585,7.1649765 50.9077516,7.1650801 50.9078205,7.1651543 50.9078216,7.1652088 50.9077889,7.1653465 50.907706,7.1658154 50.907424,7.1658589 50.9073978,7.1659356 50.9073516,7.1662842 50.9071419,7.1663007 50.907132,7.1666514 50.906921,7.1666644 50.9069132,7.1667121 50.9068845,7.1670317 50.9068895,7.1670382 50.9068938,7.1698833 50.9069385,7.1699076 50.9069238,7.1701762 50.9067622,7.1703373 50.9066653,7.1706616 50.9064702,7.1707595 50.9064113,7.1707809 50.9063984,7.1715246 50.90641,7.1715303 50.9064066,7.1720162 50.9061142,7.1720613 50.9060871,7.1724978 50.9058244,7.1725907 50.9057685,7.1731652 50.9054229,7.1732581 50.905367,7.173599 50.9051618,7.1737396 50.9050772,7.1740847 50.9048695,7.1758373 50.9048969,7.1758718 50.9048762,7.1760059 50.9047954,7.1761814 50.9046898,7.176247 50.9046504,7.1777528 50.9046739,7.1777868 50.9046534,7.1778161 50.9046358,7.1782808 50.9043562,7.1783101 50.9043385,7.1787244 50.9040892,7.1794623 50.9041007,7.1795449 50.904051,7.1795531 50.9040461,7.1795649 50.9040389,7.1795991 50.9040184,7.1796026 50.9039282,7.1796052 50.9039267,7.1796344 50.9039091,7.1796486 50.9039005,7.1796601 50.9038936,7.1796869 50.9038775,7.1798551 50.9037763,7.1799347 50.9037284,7.1800427 50.9036634,7.1801047 50.903626,7.1802302 50.9035505,7.180239 50.9035452,7.1802464 50.9035408,7.1803128 50.9018371,7.1804565 50.9017507,7.1805508 50.9016939,7.1808789 50.9014964,7.1811922 50.9013078,7.1815443 50.9013133,7.181632 50.9013715,7.1818426 50.9015114,7.1819832 50.9016049,7.182089 50.9016751,7.1820868 50.9017303,7.182135 50.9017623,7.1823178 50.9018837,7.1822987 50.9023723,7.1825259 50.9025232,7.1828666 50.9027495,7.1831288 50.9029237,7.1834203 50.9031173,7.1834727 50.9031521,7.1834716 50.9031794,7.1835195 50.9032112,7.1835273 50.9032164,7.1836828 50.9033197,7.1836907 50.9033249,7.183757 50.9033689,7.1843884 50.9033788,7.1844305 50.9034067,7.1844452 50.9033978,7.1844838 50.9033746,7.1844842 50.9033744,7.1844872 50.9033726,7.1844893 50.9033192,7.1845302 50.9032946,7.1852176 50.9028808,7.1855863 50.9026589,7.1858332 50.9025102,7.1860503 50.9023795,7.1861118 50.9007986,7.1860069 50.900729,7.185997 50.9007224,7.1858511 50.9006255,7.1858486 50.9006238,7.1856903 50.9005186,7.185684 50.9005145,7.1856394 50.9004848,7.1853717 50.9004807,7.1853743 50.9004138,7.1853758 50.9004129,7.1854638 50.9003599,7.1855345 50.9003173,7.1855477 50.9003094,7.18563 50.9002598,7.1857963 50.9001597,7.1858395 50.9001337,7.1858398 50.9001267,7.1858002 50.9001004,7.185713 50.9000425,7.185675 50.9000173,7.1854754 50.8998847,7.1853645 50.899811,7.1853539 50.899804,7.1850604 50.8997994,7.1850568 50.899797,7.1849259 50.89971,7.1849216 50.8997072,7.1848755 50.8996766,7.18479 50.8996198,7.1844079 50.8996138,7.1843433 50.899571,7.1843291 50.8995615,7.1841675 50.8994542,7.1841135 50.8994183,7.1840274 50.8993611,7.1840209 50.8993568,7.1840609 50.8983279,7.1841586 50.8982691,7.1842252 50.898229,7.1844136 50.8981157,7.1844528 50.898092,7.1844865 50.8980717,7.1845478 50.8980348,7.1845987 50.8980042,7.1846239 50.897989,7.1846381 50.8979805,7.18477 50.8979825,7.1849878 50.8978514,7.1851359 50.8977622,7.1851475 50.8977553,7.1853273 50.897647,7.1853391 50.8976472,7.1853412 50.8975931,7.1852629 50.8975411,7.18522 50.8975125,7.185094 50.8974288,7.1850345 50.8973894,7.1850669 50.8965577,7.184757 50.8963519,7.1847389 50.8963398,7.1844541 50.8961506,7.1843898 50.8961079,7.184295 50.8960449,7.1841191 50.8959281,7.1837401 50.8959222,7.1838802 50.8958379,7.1839343 50.8958053,7.1842186 50.8956341,7.1843132 50.8955772,7.1844624 50.8954874,7.1844803 50.8954766,7.184557 50.8954304,7.1846029 50.8954028,7.1850209 50.8951511,7.185936 50.8951653,7.1860761 50.895081,7.1861905 50.8950121,7.186344 50.8949197,7.1863442 50.8949143,7.1863364 50.8949142,7.1862221 50.8948382,7.1860123 50.8946988,7.185842 50.8945857,7.1857527 50.8945264,7.1857636 50.8942438,7.185748 50.8942334,7.1857351 50.8942248,7.1856393 50.8941612,7.1856114 50.8941427,7.1855545 50.8941049,7.1855306 50.894089,7.1854218 50.8940167,7.1853739 50.8939849,7.185357 50.8939737,7.1853131 50.8939445,7.1852043 50.8938722,7.1851933 50.8938649,7.1851026 50.8938047,7.1844909 50.8937951,7.184456 50.8937719,7.184456 50.8937719,7.1844724 50.8933489,7.1844724 50.8933489,7.1845521 50.8933009,7.1845867 50.8932801,7.184609 50.8932667,7.1846182 50.8930288,7.1846105 50.8930237,7.1845882 50.8930088,7.1845653 50.8929937,7.1845026 50.8929927,7.1844545 50.8930217,7.1843411 50.8930899,7.1843192 50.8931031,7.1843188 50.8931034,7.1843131 50.8931068,7.1842277 50.8931582,7.1841155 50.8932258,7.1841143 50.8932265,7.1840689 50.8932538,7.1840009 50.8932948,7.1839117 50.8933485,7.1838875 50.893363,7.1838191 50.8934043,7.1838066 50.8937244,7.1831182 50.8937136,7.1830761 50.8936857,7.1830322 50.8936565,7.1829242 50.8935848,7.1829242 50.8935848,7.1828382 50.8935276,7.1828163 50.8935131,7.1827303 50.8934559,7.1814022 50.8934352,7.1813802 50.8934206,7.1813784 50.8934195,7.1812723 50.8933489,7.1812606 50.8933412,7.181275 50.892971,7.1812927 50.8929604,7.1814351 50.8928747,7.1814464 50.8928679,7.1814489 50.8928018,7.1814626 50.8927936,7.1815487 50.8927417,7.1815544 50.8927383,7.1815645 50.8927322,7.1816348 50.8926899,7.181662 50.8926735,7.181721 50.892638,7.1817467 50.8926225,7.181753 50.8924622,7.1817375 50.892452,7.1816433 50.8923894,7.1816389 50.8923864,7.1815402 50.8923208,7.1815357 50.8923179,7.1815108 50.8923013,7.1814847 50.892284,7.1814705 50.8922745,7.1814384 50.8922532,7.1814526 50.8918899,7.1814415 50.8918825,7.1813646 50.8918314,7.1813466 50.8918194,7.1813463 50.8918194,7.1813063 50.8917928,7.181294 50.8917846,7.1812366 50.8917465,7.1812397 50.891665,7.1812156 50.8916489,7.1811448 50.8916019,7.1811022 50.8915736,7.181086 50.8915628,7.1810051 50.8915091,7.1809889 50.8914983,7.1808755 50.891423,7.1808654 50.8914163,7.1807723 50.8913544,7.1807622 50.8913477,7.1807543 50.8913425,7.1807426 50.8913347,7.180678 50.8912918,7.1806687 50.8912856,7.1806655 50.8912834,7.1805949 50.8912365,7.1805642 50.8912162,7.180521 50.8911875,7.1804916 50.8911679,7.1804983 50.8909949,7.1804639 50.8909721,7.1804619 50.8909707,7.180458 50.8909682,7.1804168 50.8909408,7.1797776 50.8909309,7.1796926 50.8908744,7.1796529 50.890848,7.1795788 50.8907988,7.1793282 50.8906322,7.1792564 50.8905845,7.1792457 50.8905774,7.1792519 50.8904173,7.1789782 50.8904131,7.1789726 50.8904094,7.1787138 50.8902374,7.1786995 50.8902279,7.178554 50.8901312,7.1785319 50.8901165,7.1784714 50.8900763,7.1784513 50.890063,7.1783662 50.8900064,7.1783365 50.8899867,7.1783451 50.889768,7.1783003 50.8897383,7.1782869 50.8897293,7.1782595 50.8897112,7.1782074 50.8896765,7.1782034 50.8896739,7.1780328 50.8895605,7.1779889 50.8895313,7.1779396 50.8894986,7.1778622 50.8894471,7.1777336 50.8893617,7.1775447 50.8893587,7.1775233 50.8893445,7.177448 50.8892945,7.1774451 50.8892926,7.1773239 50.889212,7.1771245 50.8890795,7.1770952 50.8890601,7.1770003 50.888997,7.1769251 50.888947,7.176876 50.8889144,7.1768936 50.8884642,7.1760607 50.8884512,7.1758184 50.8885971,7.1755249 50.8887737,7.175517 50.8887785,7.1752236 50.8889552,7.1746288 50.8893132,7.1743906 50.8894566,7.1742722 50.8895279,7.174034 50.8896713,7.1734392 50.8900293,7.173264 50.8901348,7.1730195 50.890282,7.1728444 50.8903874,7.1727008 50.8904738,7.1726759 50.8911095,7.172515 50.8912064,7.1723828 50.891286,7.1723724 50.8912922,7.1722606 50.8913595,7.1720061 50.8915127,7.1718839 50.8915863,7.1718535 50.8916046,7.1717517 50.8916659,7.1714972 50.891819,7.1713954 50.8918803,7.1713242 50.8919231,7.1712428 50.8919722,7.1709883 50.8921253,7.1709068 50.8921743,7.170795 50.8922417,7.1707339 50.8922785,7.1704794 50.8924316,7.1704183 50.8924684,7.170406 50.8927825,7.170233 50.8928866,7.1702126 50.8928989,7.1699582 50.893052,7.1699174 50.8930765,7.1697037 50.8932051,7.1697037 50.8932051,7.1694492 50.8933583,7.1694289 50.8933706,7.1691948 50.8935114,7.1691744 50.8935237,7.1689403 50.8936646,7.1689403 50.8936646,7.1686858 50.8938177,7.1686451 50.8938423,7.1684517 50.8939586,7.1684314 50.8939709,7.1681769 50.894124,7.1681158 50.8941608,7.1679632 50.8942527,7.1679224 50.8942772,7.167668 50.8944303,7.1675865 50.8944794,7.1674746 50.8945467,7.1674135 50.8945835,7.167159 50.8947366,7.1670571 50.8947979,7.166986 50.8948407,7.1669045 50.8948898,7.16665 50.8950429,7.1665278 50.8951165,7.1664974 50.8951347,7.1663956 50.895196,7.1661411 50.8953492,7.1661088 50.8953686,7.1648193 50.8953483,7.1648179 50.8953492,7.1647737 50.8953758,7.1644892 50.895547,7.1642948 50.8956639,7.1642818 50.8956718,7.163829 50.8959442,7.1638159 50.8959521,7.163337 50.8962403,7.1631688 50.8963415,7.161909 50.8963217,7.1618023 50.8963858,7.161765 50.8964083,7.1612861 50.8966964,7.1612488 50.8967189,7.1605885 50.8971162,7.1605469 50.8971412,7.1603282 50.8972727,7.1599283 50.8975134,7.1571245 50.8974692,7.1570456 50.8975167,7.1568504 50.8976341,7.1565666 50.8978048,7.1564642 50.8978664,7.1560877 50.8980929,7.1558039 50.8982636,7.1548693 50.8982488,7.1546741 50.8983663,7.1543626 50.8985537,7.154209 50.898646,7.1541951 50.8986544,7.1537161 50.8989425,7.1535487 50.8990433,7.1532371 50.8992306,7.153107 50.8993089,7.1528883 50.8994405,7.1527581 50.8995187,7.1522791 50.8998069,7.1519484 50.8995869,7.1518694 50.8996071,7.1518605 50.8998318,7.1512933 50.8998229,7.1508655 50.9000802,7.1506329 50.9002201,7.1506191 50.9002284,7.1503865 50.9003683,7.1499725 50.9006172,7.1499075 50.9006564,7.1494284 50.9009445,7.1493633 50.9009836,7.1493121 50.9010144,7.1489494 50.9012326,7.1486517 50.9014116,7.1484703 50.9015207,7.1481076 50.9017388,7.1479913 50.9018088,7.1479913 50.9018088,7.1475122 50.9020969,7.1473308 50.9022059,7.1470332 50.902385,7.1468518 50.902494,7.1466704 50.9026031,7.1465541 50.9026731,7.1461106 50.9029398,7.1458203 50.9029352,7.145752 50.9029762,7.1457488 50.9030569)))",1200sec,,,,,,-1,0,-1,,
"MULTIPOLYGON (((7.1725441 50.8903913,7.1723924 50.8902905,7.1720875 50.8900878,7.1721833 50.8876411,7.1721541 50.8876216,7.1699057 50.8875864,7.1696414 50.8877455,7.1696384 50.8877473,7.1693507 50.8879205,7.1687722 50.8882687,7.168507 50.8884283,7.168465 50.8884536,7.1684588 50.8884573,7.168231 50.8885945,7.1551251 50.888388,7.1545141 50.8887556,7.1544558 50.8887907,7.1529291 50.8897092,7.1525908 50.8899128,7.1525341 50.8899468,7.1514024 50.8906277,7.1506673 50.8910699,7.1506289 50.891093,7.1506222 50.8910929,7.1506157 50.8910969,7.1505984 50.8911073,7.1502663 50.891307,7.1502309 50.8922007,7.1504368 50.8923377,7.1504628 50.8923549,7.1504789 50.8923657,7.1506118 50.892454,7.1509498 50.8926788,7.1516248 50.8931277,7.1516989 50.8931769,7.1515822 50.8961246,7.1511703 50.8963724,7.1511703 50.8963724,7.1505371 50.8967532,7.1502132 50.896948,7.1498562 50.8971628,7.149815 50.8982029,7.1498157 50.8982034,7.1500982 50.8983913,7.1501894 50.8984519,7.1508786 50.8984628,7.151437 50.898127,7.1515708 50.8980465,7.1518139 50.8979003,7.1519953 50.8977912,7.1526334 50.8978013,7.1526705 50.8977653,7.152773 50.897724,7.1527901 50.8977197,7.1530321 50.8976584,7.1530392 50.8974782,7.1530855 50.8974638,7.1560587 50.8975108,7.1566169 50.897175,7.1566786 50.8971379,7.1568723 50.8970213,7.1571752 50.8968391,7.1573214 50.8967512,7.1577334 50.8965033,7.1577704 50.896481,7.1579166 50.8963931,7.1582195 50.8962108,7.1582917 50.8961674,7.1586685 50.8959407,7.1588499 50.8958316,7.1614786 50.895873,7.161565 50.8958211,7.1617463 50.8957119,7.1620149 50.8955504,7.1620118 50.8955741,7.1620133 50.8955742,7.1620164 50.8955494,7.1620369 50.8955371,7.1621954 50.8954418,7.1625618 50.8952213,7.1646088 50.8952535,7.1646123 50.895165,7.1652615 50.8947743,7.1653232 50.8947371,7.1661441 50.8942431,7.1661459 50.894242,7.1670303 50.8937098,7.1670321 50.8937087,7.1679147 50.8931776,7.1679728 50.8931426,7.1687409 50.8926803,7.168799 50.8926454,7.1696834 50.8921131,7.1698014 50.8920421,7.1704497 50.8916519,7.1705677 50.8915809,7.171452 50.8910486,7.1716299 50.8909416,7.1721583 50.8906235,7.1723362 50.8905164,7.1725441 50.8903913)))",1200sec,,,,,,-1,0,-1,,
"MULTIPOLYGON (((7.1949363 50.9116429,7.1962495 50.9116632,7.1962904 50.9116903,7.1962933 50.9116922,7.196351 50.9117305,7.1963808 50.9117503,7.1963837 50.9117523,7.1964116 50.9117708,7.1964721 50.911811,7.1964741 50.9118123,7.1965327 50.9118512,7.1965327 50.9118512,7.1965645 50.9118723,7.1965933 50.9118914,7.1966539 50.9119317,7.1966549 50.9119323,7.1966847 50.9119521,7.1967145 50.9119719,7.1967453 50.9119923,7.1967751 50.9120121,7.1968357 50.9120524,7.1968357 50.9120524,7.1968367 50.912053,7.1968596 50.9120682,7.1971838 50.9120732,7.197224 50.9110337,7.1955798 50.9110083,7.1955526 50.9109902,7.1948546 50.9105269,7.1937663 50.9098043,7.193705 50.9098412,7.1929276 50.9103092,7.1939424 50.910983,7.1947722 50.9115339,7.1949363 50.9116429)))",1200sec,,,,,,-1,0,-1,,
