WKT,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon
"MULTIPOLYGON (((7.1509199 50.9014358,7.1512473 50.901441,7.1512718 50.9014263,7.1512817 50.9014203,7.1513229 50.9013955,7.1515078 50.9013984,7.1515469 50.9014245,7.1515797 50.9014462,7.1515873 50.9014513,7.1515602 50.902134,7.1515714 50.9021414,7.1517343 50.902144,7.1517707 50.9021221,7.1518849 50.9021239,7.1518931 50.9021293,7.1519196 50.9021469,7.151935 50.9021572,7.1519444 50.9021634,7.1519569 50.9021717,7.151985 50.9021905,7.1519888 50.902193,7.1520207 50.9022142,7.1520219 50.902215,7.1520351 50.9022237,7.1520526 50.9022354,7.1520782 50.9022524,7.1520675 50.9025249,7.1518787 50.9026384,7.1517328 50.9027261,7.1513085 50.9029814,7.1512283 50.9030296,7.1512273 50.9030539,7.1512976 50.9031007,7.1513542 50.9031016,7.1516239 50.9032809,7.1549108 50.9033329,7.1550765 50.903443,7.1550994 50.9034582,7.1558435 50.9039529,7.1558765 50.9039748,7.1565547 50.9044257,7.1565877 50.9044476,7.1573319 50.9049422,7.157375 50.9049709,7.1577363 50.905211,7.1577991 50.9052527,7.1578425 50.9052817,7.1579684 50.9053653,7.1583538 50.9056215,7.1584797 50.9057051,7.1585339 50.9057412,7.1601487 50.9057666,7.1601848 50.9057449,7.1606172 50.9054848,7.160694 50.9054386,7.1609728 50.9052709,7.1610496 50.9052247,7.1613978 50.9050152,7.1614821 50.9049646,7.1619145 50.9047044,7.1619987 50.9046538,7.1621017 50.9045918,7.1621542 50.9032583,7.1621835 50.9032407,7.1623587 50.9031353,7.1624942 50.9030538,7.1629255 50.9030606,7.163017 50.9031214,7.1631196 50.9031896,7.1631938 50.9032389,7.163676 50.9035594,7.1638529 50.9036769,7.1641583 50.9038799,7.1642126 50.903916,7.1645862 50.9041642,7.1646405 50.9042003,7.1651227 50.9045208,7.1651934 50.9045678,7.1693218 50.9046326,7.1699537 50.9042524,7.1699949 50.9042276,7.1704326 50.9039642,7.1705592 50.9038881,7.1705947 50.9038667,7.1707783 50.9037562,7.1711326 50.903543,7.1712456 50.903475,7.1729677 50.903502,7.1730352 50.9034614,7.1730961 50.9034247,7.1732877 50.9033095,7.1734095 50.9032361,7.1736376 50.9030988,7.1742056 50.9027571,7.1744133 50.9026321,7.1745555 50.9025465,7.1747735 50.9024153,7.1753414 50.9020735,7.1755389 50.9019546,7.1756702 50.9018756,7.1762675 50.901885,7.1762005 50.9019253,7.1760402 50.9020218,7.1760294 50.9022977,7.1760352 50.9023016,7.1762291 50.9023046,7.1762618 50.9023263,7.1769514 50.9023371,7.1769485 50.9024104,7.1779747 50.9024264,7.1779803 50.902423,7.1781118 50.9023438,7.1781184 50.9023399,7.1782053 50.9022876,7.1782201 50.9022879,7.1782593 50.9012833,7.1782178 50.9012557,7.1781568 50.9012152,7.1778096 50.9012098,7.1777984 50.9012165,7.1775427 50.9010466,7.177517 50.9010295,7.1774443 50.9009813,7.1772002 50.9008191,7.1772272 50.9008028,7.1772272 50.9008028,7.17756 50.9006025,7.17756 50.9006025,7.1778287 50.9004408,7.1778891 50.9004045,7.1778928 50.9004022,7.1781069 50.9002734,7.1788739 50.9002854,7.1789025 50.9003043,7.1789139 50.9003119,7.1789583 50.9003414,7.1789796 50.9003556,7.1790567 50.9004068,7.179078 50.900421,7.1791026 50.9004373,7.1791338 50.900458,7.1792109 50.9005093,7.1792421 50.90053,7.1792458 50.9005325,7.1793098 50.9004939,7.1795691 50.9003378,7.1797055 50.9002558,7.1798947 50.9001419,7.1801011 50.9000176,7.1801362 50.8999965,7.1802417 50.899933,7.1802572 50.8995353,7.1801697 50.8994771,7.1802176 50.8982487,7.1802889 50.8982059,7.18036 50.898163,7.1806179 50.8980078,7.1806535 50.8979863,7.180947 50.8978097,7.1809826 50.8977882,7.1810633 50.8977397,7.1810683 50.89761,7.1805884 50.8976026,7.1802911 50.8974051,7.1802209 50.8973584,7.1800568 50.8972494,7.1798782 50.8971307,7.1798793 50.8971021,7.1798227 50.8970644,7.178814 50.8970487,7.1787483 50.8970051,7.1786694 50.8969526,7.1784205 50.8967873,7.1784205 50.8967873,7.1781716 50.8966219,7.1782545 50.896572,7.1784331 50.8964645,7.178599 50.8963646,7.1788029 50.8963678,7.1788649 50.896409,7.1789523 50.8964671,7.1791308 50.8965857,7.1792012 50.8966325,7.1794501 50.8967978,7.1794586 50.8968035,7.1795326 50.8968527,7.179699 50.8969632,7.1797741 50.8970131,7.1797865 50.8970213,7.1797869 50.8970216,7.1798274 50.895982,7.179979 50.8958908,7.1800449 50.8958511,7.1803591 50.895662,7.1804251 50.8956223,7.1804575 50.8956028,7.180873 50.8956092,7.180845 50.8955906,7.1807942 50.8955569,7.1807595 50.8955338,7.1806914 50.8954885,7.1806882 50.8954864,7.1805971 50.8954259,7.1805958 50.8954251,7.1805963 50.8954134,7.1806858 50.8953595,7.1806933 50.895355,7.1806937 50.8953552,7.1807001 50.8953553,7.1807011 50.8953547,7.1807032 50.8953014,7.1807453 50.895276,7.1807569 50.895269,7.1807949 50.8952462,7.1810481 50.8952501,7.1810769 50.8952328,7.181079 50.8951792,7.1810965 50.8951687,7.1811104 50.8951603,7.1811177 50.8949735,7.1809202 50.8948423,7.1807634 50.8948399,7.1807424 50.8948525,7.180637 50.894916,7.1805625 50.8949148,7.1805486 50.8949056,7.180553 50.8947934,7.1806057 50.8947617,7.1806615 50.8947281,7.180707 50.8947007,7.1807494 50.8946752,7.1808227 50.8946311,7.180931 50.8945659,7.1809663 50.8945446,7.1810199 50.8945123,7.1810236 50.8944185,7.1806818 50.8941914,7.1806311 50.8941578,7.1804484 50.8940364,7.1793663 50.8940195,7.1793293 50.8940418,7.1793046 50.8940566,7.1792025 50.8941181,7.1791143 50.8941712,7.179095 50.8941828,7.1790671 50.8941996,7.1789418 50.894275,7.1789132 50.8942922,7.1788588 50.8942914,7.1787749 50.8942356,7.1787785 50.8941424,7.1788097 50.8941235,7.1788208 50.8938403,7.1786942 50.8937562,7.1785376 50.8936521,7.178097 50.8933593,7.1780729 50.8933433,7.17803 50.8933148,7.1778279 50.8931805,7.1778283 50.8931711,7.1778167 50.8931634,7.1774583 50.8931578,7.1773349 50.8932321,7.1772813 50.8932644,7.1772686 50.89359,7.17721 50.8936253,7.1771455 50.8935824,7.1770251 50.8935025,7.1769589 50.8934585,7.1769589 50.8934585,7.1768521 50.8933875,7.1767519 50.8933209,7.1767693 50.8928763,7.1766879 50.8928222,7.1765535 50.8927329,7.1763914 50.8926252,7.1761941 50.8926221,7.1759692 50.8924727,7.1758976 50.8924251,7.1757276 50.8923121,7.1757206 50.8923075,7.1756296 50.892247,7.1756164 50.8922382,7.1755698 50.8922072,7.175579 50.8919705,7.1755521 50.8919527,7.1755485 50.8919502,7.175475 50.8919014,7.1753066 50.8917895,7.1752295 50.8917382,7.1751975 50.891717,7.1751382 50.8916776,7.1749698 50.8915657,7.1749104 50.8915262,7.1748766 50.8915037,7.1747114 50.8915011,7.1745832 50.8915783,7.1744652 50.8916493,7.1744522 50.8919806,7.1742672 50.892092,7.1742168 50.8921223,7.1741385 50.8921695,7.172919 50.8921504,7.1729333 50.8917847,7.1730409 50.8917199,7.1731048 50.8916815,7.1733905 50.8915095,7.1734544 50.891471,7.1734868 50.8914515,7.1734998 50.8914437,7.1735068 50.8912667,7.1734853 50.8912525,7.1734853 50.8912525,7.173348 50.8911613,7.173348 50.8911613,7.1732282 50.8910816,7.1732386 50.8908174,7.1732773 50.8907941,7.1732998 50.8907944,7.1732893 50.8907875,7.173255 50.8907646,7.1732265 50.8907457,7.1731774 50.8907131,7.1731431 50.8906903,7.1730998 50.8906616,7.1730625 50.8906367,7.1730597 50.8906349,7.1729977 50.8906339,7.1729905 50.8906291,7.1729568 50.8906067,7.17295 50.8906022,7.1729401 50.8906021,7.1728749 50.8906413,7.1727488 50.8907172,7.1724943 50.8908704,7.1723864 50.8909354,7.1723478 50.8909586,7.1722399 50.8910235,7.1719854 50.8911767,7.1718979 50.8912294,7.1718839 50.8915863,7.1718535 50.8916046,7.1717517 50.8916659,7.1714972 50.891819,7.1713954 50.8918803,7.1713242 50.8919231,7.1712428 50.8919722,7.1709883 50.8921253,7.1709068 50.8921743,7.170795 50.8922417,7.1707339 50.8922785,7.1704794 50.8924316,7.1704183 50.8924684,7.170406 50.8927825,7.170233 50.8928866,7.1702126 50.8928989,7.1699582 50.893052,7.1699174 50.8930765,7.1697037 50.8932051,7.1697037 50.8932051,7.1694492 50.8933583,7.1694289 50.8933706,7.1691948 50.8935114,7.1691744 50.8935237,7.1689403 50.8936646,7.1689403 50.8936646,7.1686858 50.8938177,7.1686451 50.8938423,7.1684517 50.8939586,7.1684314 50.8939709,7.1681769 50.894124,7.1681158 50.8941608,7.1679632 50.8942527,7.1679224 50.8942772,7.167668 50.8944303,7.1675865 50.8944794,7.1674746 50.8945467,7.1674135 50.8945835,7.167159 50.8947366,7.1670571 50.8947979,7.166986 50.8948407,7.1669045 50.8948898,7.16665 50.8950429,7.1665278 50.8951165,7.1664974 50.8951347,7.1663956 50.895196,7.1661411 50.8953492,7.1661088 50.8953686,7.1648193 50.8953483,7.1648179 50.8953492,7.1647737 50.8953758,7.1644892 50.895547,7.1642948 50.8956639,7.1642818 50.8956718,7.163829 50.8959442,7.1638159 50.8959521,7.163337 50.8962403,7.1631688 50.8963415,7.1630264 50.8964272,7.1628581 50.8965284,7.1625086 50.8967387,7.1612488 50.8967189,7.1605885 50.8971162,7.1605469 50.8971412,7.1603282 50.8972727,7.1599283 50.8975134,7.1571245 50.8974692,7.1570456 50.8975167,7.1568504 50.8976341,7.1565666 50.8978048,7.1564642 50.8978664,7.1560877 50.8980929,7.1558039 50.8982636,7.1548693 50.8982488,7.1546741 50.8983663,7.1543626 50.8985537,7.154209 50.898646,7.1541951 50.8986544,7.1537161 50.8989425,7.1535487 50.8990433,7.1532371 50.8992306,7.153107 50.8993089,7.1528883 50.8994405,7.1527581 50.8995187,7.1522791 50.8998069,7.1520257 50.8996384,7.1518644 50.8997354,7.151708 50.8998294,7.1515467 50.8999265,7.1513611 50.9000381,7.1513606 50.9000384,7.151062 50.900218,7.1502206 50.900724,7.1503829 50.900832,7.1510209 50.9012561,7.1510161 50.901378,7.1509199 50.9014358),(7.1540274 50.9017745,7.1540269 50.9017742,7.1540165 50.9017673,7.1539815 50.901744,7.1539511 50.9017238,7.1539247 50.9017062,7.153891 50.9016838,7.1538856 50.9016803,7.1538202 50.9016368,7.1538005 50.9016237,7.1537548 50.9015933,7.1537534 50.9015924,7.1537101 50.9015636,7.1536894 50.9015498,7.1536239 50.9015063,7.1536196 50.9015034,7.1535822 50.9014785,7.1535585 50.9014628,7.1535291 50.9014433,7.1534931 50.9014193,7.1534387 50.9013831,7.1534276 50.9013758,7.1534109 50.9013647,7.1533622 50.9013323,7.1533482 50.901323,7.1532968 50.9012888,7.1532578 50.9012628,7.1532397 50.9012508,7.1532314 50.9012453,7.1531673 50.9012027,7.1531659 50.9012018,7.1531005 50.9011583,7.1530768 50.9011426,7.1530684 50.901137,7.1530351 50.9011148,7.1529864 50.9010824,7.1529696 50.9010713,7.1529042 50.9010278,7.1528972 50.9010231,7.1529002 50.9009474,7.1529121 50.9009402,7.152969 50.900906,7.1529809 50.9008988,7.1530497 50.9008575,7.1530641 50.9008488,7.1530802 50.9008391,7.1531185 50.9008161,7.1531592 50.9007916,7.1536166 50.9007988,7.1536553 50.9008246,7.1537071 50.900859,7.1537207 50.9008681,7.1537805 50.9009078,7.1537862 50.9009116,7.1537975 50.9009191,7.1538516 50.9009551,7.153888 50.9009793,7.153917 50.9009986,7.1539517 50.9010217,7.1539784 50.9010394,7.1539825 50.9010421,7.1540479 50.9010856,7.1540545 50.90109,7.1540689 50.9010995,7.1541133 50.9011291,7.154123 50.9011355,7.1541594 50.9011597,7.1541787 50.9011726,7.1542442 50.9012161,7.1542498 50.9012198,7.1542942 50.9012493,7.1543096 50.9012596,7.1543403 50.90128,7.154375 50.9013031,7.1544308 50.9013401,7.1544405 50.9013466,7.1544655 50.9013632,7.1544534 50.9016702,7.154427 50.901686,7.1544169 50.9016922,7.1543583 50.9017274,7.1543218 50.9017494,7.1542895 50.9017688,7.1542734 50.9017784,7.1540274 50.9017745),(7.1522528 50.9013814,7.1522509 50.9013802,7.1522265 50.9013639,7.1522175 50.901358,7.1521818 50.9013342,7.152183 50.9013045,7.1522558 50.9013057,7.1522528 50.9013814)))",900sec,,,,,,-1,0,-1,,
"MULTIPOLYGON (((7.1648193 50.8953483,7.1646783 50.8952546,7.1646088 50.8952535,7.1647498 50.8953472,7.1648193 50.8953483)))",900sec,,,,,,-1,0,-1,,
"MULTIPOLYGON (((7.1646088 50.8952535,7.1646094 50.8952367,7.1653168 50.894811,7.1654366 50.8947389,7.1661413 50.8943149,7.1662012 50.8942788,7.1670856 50.8937466,7.1671455 50.8937105,7.1676135 50.8934289,7.1677165 50.8908066,7.1677171 50.8908062,7.1678532 50.8907243,7.1675448 50.8905193,7.1669735 50.8901395,7.1660923 50.8895538,7.1651437 50.8889232,7.1648851 50.8889191,7.1648245 50.8889556,7.1640915 50.8893967,7.162962 50.8900765,7.1625651 50.8903153,7.1620374 50.8906329,7.1614631 50.8909784,7.1614492 50.8913322,7.161338 50.8913991,7.1610622 50.8915651,7.1610622 50.8915651,7.1607998 50.8913906,7.1607998 50.8913906,7.1607895 50.8913838,7.1606805 50.8913114,7.1605373 50.8912162,7.160299 50.8910577,7.1589852 50.891037,7.158719 50.8911972,7.1572867 50.8911746,7.156552 50.8916166,7.156156 50.8918549,7.1560249 50.8919338,7.1559844 50.8929571,7.1559878 50.8929593,7.1559898 50.8929606,7.1565835 50.8933554,7.1567292 50.8934522,7.1571375 50.8937237,7.1571028 50.8946011,7.1568258 50.8947678,7.1565966 50.8949057,7.1558963 50.895327,7.15588 50.8953367,7.1554045 50.8953292,7.155345 50.8952897,7.1551693 50.8953954,7.1551311 50.8954184,7.1550793 50.8967292,7.158382 50.8967814,7.1586188 50.8966389,7.1586907 50.8965957,7.1590906 50.8963551,7.1597025 50.8959869,7.1614034 50.8960137,7.1616632 50.8958574,7.162487 50.8953618,7.1625349 50.8953329,7.1627164 50.8952237,7.1646088 50.8952535)))",900sec,,,,,,-1,0,-1,,
